state,fips,mrfei
CA,06075031100,15
CA,06075031200,16
CA,06075031300,6
CA,06075031400,12
CA,06075032600,17
CA,06075032700,17
CA,06075032800,14
CA,06075032900,13
CA,06075033000,19
CA,06075033100,21
CA,06075033201,13
CA,06075033202,10
CA,06075035100,16
CA,06075035201,20
CA,06075035202,22
CA,06075035300,20
CA,06075035400,29
CA,06075040100,10
CA,06075040200,14
CA,06075042600,18
CA,06075042700,13
CA,06075042800,19
CA,06075045100,8
CA,06075045200,14
CA,06075047600,21
CA,06075047701,16
CA,06075047702,16
CA,06075047800,12
CA,06075047901,17
CA,06075047902,17
CA,06075060100,20
CA,06075060200,9
CA,06075060300,13
CA,06075060400,13
CA,06075060501,0
CA,06075060502,0
CA,06075060600,22
CA,06075060700,16
CA,06075060900,19
CA,06075061000,5
CA,06081600100,9
CA,06081600200,0
CA,06081600300,11
CA,06081600400,13
CA,06081600500,5
CA,06081600600,9
CA,06081600700,10
CA,06081600800,11
CA,06081600900,9
CA,06081601000,20
CA,06081601100,20
CA,06081601200,12
CA,06081601300,11
CA,06081601400,11
CA,06081601501,14
CA,06081601502,8
CA,06081601601,11
CA,06081601603,4
CA,06081601604,7
CA,06081601605,8
CA,06081601700,25
CA,06081601800,20
CA,06081601900,21
CA,06081602000,17
CA,06081602100,15
CA,06081602200,20
CA,06081602300,21
CA,06081602400,17
CA,06081602500,0
CA,06081602600,7
CA,06081602700,15
CA,06081602800,30
CA,06081602900,33
CA,06081603000,21
CA,06081603100,11
CA,06081603200,11
CA,06081603300,10
CA,06081603400,0
CA,06081603500,0
CA,06081603600,0
CA,06081603700,0
CA,06081603800,9
CA,06081603900,7
CA,06081604000,8
CA,06081604101,7
CA,06081604102,16
CA,06081604200,13
CA,06081604300,20
CA,06081604400,16
CA,06081604500,15
CA,06081604600,33
CA,06081604700,0
CA,06081604800,18
CA,06081604900,19
CA,06081605000,13
CA,06081605100,14
CA,06081605200,0
CA,06081605300,0
CA,06081605400,9
CA,06081605500,13
CA,06081605600,5
CA,06081605700,18
CA,06081605800,7
CA,06081605900,17
CA,06081606000,15
CA,06081606100,18
CA,06081606200,18
CA,06081606300,14
CA,06081606400,15
CA,06081606500,17
CA,06081606600,21
CA,06081606700,13
CA,06081606800,23
CA,06081606900,40
CA,06081607000,23
CA,06081607100,6
CA,06081607200,3
CA,06081607300,4
CA,06081607400,7
CA,06081607500,14
CA,06081607600,21
CA,06081607701,11
CA,06081607702,20
CA,06081607800,25
CA,06081607900,21
CA,06081608001,0
CA,06081608002,13
CA,06081608004,13
CA,06081608013,8
CA,06081608023,13
CA,06081608100,6
CA,06081608200,0
CA,06081608300,0
CA,06081608400,26
CA,06081608501,9
CA,06081608502,6
CA,06081608600,8
CA,06081608700,13
CA,06081608800,29
CA,06081608900,33
CA,06081609000,19
CA,06081609100,13
CA,06081609200,16
CA,06081609300,7
CA,06081609400,18
CA,06081609500,17
CA,06081609601,17
CA,06081609602,0
CA,06081609603,33
CA,06081609700,25
CA,06081609800,29
CA,06081609900,11
CA,06081610000,11
CA,06081610100,11
CA,06081610201,19
CA,06081610202,13
CA,06081610203,16
CA,06081610302,15
CA,06081610303,9
CA,06081610304,12
CA,06081610400,8
CA,06081610500,19
CA,06081610601,19
CA,06081610602,18
CA,06081610700,19
CA,06081610800,19
CA,06081610900,15
CA,06081611000,17
CA,06081611100,20
CA,06081611200,33
CA,06081611300,14
CA,06081611400,12
CA,06081611500,11
CA,06081611600,17
CA,06081611700,12
CA,06081611800,0
CA,06081611900,0
CA,06081612000,9
CA,06081612100,13
CA,06081612200,15
CA,06081612400,20
CA,06081612500,5
CA,06081612600,14
CA,06081612700,17
CA,06081612800,25
CA,06081612900,17
CA,06081613000,13
CA,06081613200,25
CA,06081613300,33
CA,06081613400,20
CA,06081613501,35
CA,06081613502,0
CA,06081613600,0
CA,06081613700,44
CA,06081613800,57
CA,06085500100,0
CA,06085500200,4
CA,06085500300,3
CA,06085500400,4
CA,06085500500,5
CA,06085500600,4
CA,06085500800,5
CA,06085500901,4
CA,06085500902,7
CA,06085501000,3
CA,06085501100,0
CA,06085501200,3
CA,06085501300,3
CA,06085501400,10
CA,06085501501,22
CA,06085501502,21
CA,06085501600,5
CA,06085501700,5
CA,06085501800,3
CA,06085501900,5
CA,06085502001,4
CA,06085502002,3
CA,06085502101,7
CA,06085502102,3
CA,06085502201,3
CA,06085502202,10
CA,06085502300,11
CA,06085502400,7
CA,06085502500,10
CA,06085502601,20
CA,06085502602,8
CA,06085502701,5
CA,06085502702,4
CA,06085502800,14
CA,06085502901,8
CA,06085502902,13
CA,06085502903,27
CA,06085502906,9
CA,06085502907,19
CA,06085502908,19
CA,06085502909,12
CA,06085502910,13
CA,06085503001,13
CA,06085503002,14
CA,06085503003,12
CA,06085503103,12
CA,06085503105,23
CA,06085503106,21
CA,06085503108,6
CA,06085503110,16
CA,06085503111,15
CA,06085503112,3
CA,06085503113,0
CA,06085503115,15
CA,06085503116,9
CA,06085503204,15
CA,06085503207,10
CA,06085503208,20
CA,06085503210,16
CA,06085503211,13
CA,06085503212,10
CA,06085503213,18
CA,06085503214,21
CA,06085503217,16
CA,06085503218,21
CA,06085503304,20
CA,06085503305,19
CA,06085503306,22
CA,06085503312,0
CA,06085503313,
CA,06085503315,7
CA,06085503317,13
CA,06085503319,4
CA,06085503320,0
CA,06085503321,11
CA,06085503322,0
CA,06085503323,0
CA,06085503324,0
CA,06085503325,6
CA,06085503326,6
CA,06085503327,4
CA,06085503328,6
CA,06085503401,10
CA,06085503402,21
CA,06085503504,5
CA,06085503506,6
CA,06085503507,5
CA,06085503508,7
CA,06085503509,0
CA,06085503510,5
CA,06085503511,0
CA,06085503601,14
CA,06085503602,11
CA,06085503702,3
CA,06085503703,4
CA,06085503706,2
CA,06085503707,10
CA,06085503708,7
CA,06085503709,19
CA,06085503802,0
CA,06085503803,10
CA,06085503804,3
CA,06085503900,0
CA,06085504001,3
CA,06085504002,3
CA,06085504101,0
CA,06085504102,5
CA,06085504201,0
CA,06085504202,0
CA,06085504307,8
CA,06085504308,0
CA,06085504310,18
CA,06085504311,21
CA,06085504314,14
CA,06085504315,20
CA,06085504316,23
CA,06085504317,24
CA,06085504318,3
CA,06085504319,24
CA,06085504320,22
CA,06085504321,10
CA,06085504410,11
CA,06085504411,9
CA,06085504412,18
CA,06085504413,11
CA,06085504414,15
CA,06085504415,0
CA,06085504416,8
CA,06085504417,
CA,06085504418,18
CA,06085504420,17
CA,06085504421,16
CA,06085504422,8
CA,06085504504,8
CA,06085504505,5
CA,06085504506,14
CA,06085504507,8
CA,06085504601,3
CA,06085504602,4
CA,06085504700,0
CA,06085504802,10
CA,06085504803,9
CA,06085504805,21
CA,06085504806,15
CA,06085504901,12
CA,06085505001,5
CA,06085505005,4
CA,06085505006,8
CA,06085505007,10
CA,06085505100,8
CA,06085505202,6
CA,06085505203,7
CA,06085505301,25
CA,06085505302,5
CA,06085505303,8
CA,06085505304,10
CA,06085505305,16
CA,06085505401,12
CA,06085505402,8
CA,06085505403,13
CA,06085505500,8
CA,06085505600,8
CA,06085505700,5
CA,06085505800,3
CA,06085505900,5
CA,06085506000,5
CA,06085506101,10
CA,06085506102,8
CA,06085506103,7
CA,06085506202,9
CA,06085506203,7
CA,06085506204,5
CA,06085506301,8
CA,06085506302,10
CA,06085506304,12
CA,06085506305,7
CA,06085506401,7
CA,06085506402,8
CA,06085506501,4
CA,06085506502,8
CA,06085506503,7
CA,06085506601,10
CA,06085506603,10
CA,06085506604,16
CA,06085506605,0
CA,06085506606,6
CA,06085506701,20
CA,06085506702,14
CA,06085506703,29
CA,06085506801,17
CA,06085506802,17
CA,06085506803,9
CA,06085506804,100
CA,06085506900,19
CA,06085507001,12
CA,06085507002,0
CA,06085507100,18
CA,06085507203,18
CA,06085507205,40
CA,06085507206,13
CA,06085507301,33
CA,06085507302,20
CA,06085507401,14
CA,06085507402,18
CA,06085507500,17
CA,06085507600,17
CA,06085507701,14
CA,06085507702,0
CA,06085507703,15
CA,06085507805,21
CA,06085507806,17
CA,06085507807,5
CA,06085507808,0
CA,06085507903,17
CA,06085507904,14
CA,06085507905,7
CA,06085507906,29
CA,06085508001,18
CA,06085508002,12
CA,06085508101,23
CA,06085508102,17
CA,06085508202,11
CA,06085508203,16
CA,06085508204,13
CA,06085508301,25
CA,06085508303,17
CA,06085508304,17
CA,06085508401,15
CA,06085508403,14
CA,06085508404,9
CA,06085508503,6
CA,06085508504,8
CA,06085508505,14
CA,06085508506,18
CA,06085508601,7
CA,06085508602,4
CA,06085508703,16
CA,06085508704,10
CA,06085508800,11
CA,06085508900,16
CA,06085509000,11
CA,06085509102,5
CA,06085509105,23
CA,06085509106,9
CA,06085509107,21
CA,06085509108,0
CA,06085509109,10
CA,06085509201,4
CA,06085509202,9
CA,06085509302,23
CA,06085509303,9
CA,06085509304,4
CA,06085509401,24
CA,06085509403,5
CA,06085509404,19
CA,06085509500,5
CA,06085509600,3
CA,06085509700,13
CA,06085509801,3
CA,06085509802,15
CA,06085509901,18
CA,06085509902,21
CA,06085510001,13
CA,06085510002,38
CA,06085510100,38
CA,06085510200,0
CA,06085510300,16
CA,06085510400,13
CA,06085510500,24
CA,06085510600,0
CA,06085510700,12
CA,06085510801,7
CA,06085510802,13
CA,06085510803,0
CA,06085510900,11
CA,06085511000,13
CA,06085511100,7
CA,06085511200,4
CA,06085511300,4
CA,06085511400,20
CA,06085511500,17
CA,06085511604,17
CA,06085511605,18
CA,06085511606,25
CA,06085511607,
CA,06085511701,21
CA,06085511702,0
CA,06085511703,19
CA,06085511800,50
CA,06085511901,9
CA,06085511905,22
CA,06085511907,17
CA,06085511909,25
CA,06085511910,14
CA,06085511911,12
CA,06085511912,50
CA,06085511913,0
CA,06085511914,8
CA,06085512001,14
CA,06085512002,8
CA,06085512005,4
CA,06085512014,0
CA,06085512015,9
CA,06085512016,6
CA,06085512017,20
CA,06085512018,11
CA,06085512019,7
CA,06085512020,19
CA,06085512021,9
CA,06085512022,9
CA,06085512023,0
CA,06085512024,6
CA,06085512025,0
CA,06085512026,4
CA,06085512027,5
CA,06085512028,0
CA,06085512029,6
CA,06085512030,0
CA,06085512031,0
CA,06085512032,13
CA,06085512033,8
CA,06085512034,14
CA,06085512035,15
CA,06085512100,100
CA,06085512200,
CA,06085512304,8
CA,06085512305,0
CA,06085512306,8
CA,06085512307,13
CA,06085512308,13
CA,06085512309,15
CA,06085512401,0
CA,06085512402,40
CA,06085512503,0
CA,06085512505,24
CA,06085512506,29
CA,06085512507,18
CA,06085512508,23
CA,06085512601,15
CA,06085512602,10
CA,06085512700,50
CA,06095250101,9
CA,06095250102,13
CA,06095250200,0
CA,06095250300,10
CA,06095250400,4
CA,06095250501,6
CA,06095250502,7
CA,06095250601,19
CA,06095250603,15
CA,06095250701,13
CA,06095250702,25
CA,06095250800,0
CA,06095250900,0
CA,06095251000,3
CA,06095251100,9
CA,06095251200,10
CA,06095251300,13
CA,06095251400,12
CA,06095251500,2
CA,06095251600,3
CA,06095251701,4
CA,06095251702,11
CA,06095251802,10
CA,06095251803,13
CA,06095251804,
CA,06095251901,14
CA,06095251902,7
CA,06095251903,13
CA,06095252000,8
CA,06095252102,5
CA,06095252103,0
CA,06095252104,0
CA,06095252105,0
CA,06095252106,17
CA,06095252107,13
CA,06095252108,11
CA,06095252201,17
CA,06095252202,11
CA,06095252305,12
CA,06095252306,8
CA,06095252307,17
CA,06095252308,8
CA,06095252309,0
CA,06095252401,5
CA,06095252402,10
CA,06095252501,8
CA,06095252502,5
CA,06095252604,12
CA,06095252605,10
CA,06095252606,3
CA,06095252607,4
CA,06095252608,0
CA,06095252609,0
CA,06095252702,4
CA,06095252703,3
CA,06095252704,6
CA,06095252705,
CA,06095252706,0
CA,06095252707,0
CA,06095252800,0
CA,06095252902,11
CA,06095252903,13
CA,06095252904,15
CA,06095252907,22
CA,06095252908,8
CA,06095252909,0
CA,06095252910,9
CA,06095253000,25
CA,06095253101,14
CA,06095253105,18
CA,06095253106,11
CA,06095253107,21
CA,06095253108,8
CA,06095253201,33
CA,06095253202,17
CA,06095253203,22
CA,06095253300,13
CA,06095253401,19
CA,06095253402,15
CA,06095253500,13
CA,06097150100,40
CA,06097150201,29
CA,06097150202,23
CA,06097150302,6
CA,06097150303,29
CA,06097150304,17
CA,06097150500,25
CA,06097150601,11
CA,06097150602,9
CA,06097150603,21
CA,06097150605,30
CA,06097150606,13
CA,06097150701,16
CA,06097150702,0
CA,06097150800,13
CA,06097150901,20
CA,06097150902,24
CA,06097151000,22
CA,06097151100,0
CA,06097151201,16
CA,06097151203,11
CA,06097151204,13
CA,06097151301,11
CA,06097151305,15
CA,06097151306,11
CA,06097151307,6
CA,06097151308,14
CA,06097151309,10
CA,06097151310,10
CA,06097151311,5
CA,06097151401,17
CA,06097151402,8
CA,06097151502,17
CA,06097151503,13
CA,06097151504,20
CA,06097151600,33
CA,06097151700,26
CA,06097151800,26
CA,06097151900,8
CA,06097152000,4
CA,06097152100,7
CA,06097152201,16
CA,06097152202,18
CA,06097152203,10
CA,06097152300,25
CA,06097152400,17
CA,06097152501,25
CA,06097152502,29
CA,06097152600,30
CA,06097152701,20
CA,06097152702,14
CA,06097152801,9
CA,06097152802,5
CA,06097152901,17
CA,06097152903,8
CA,06097152904,12
CA,06097153001,7
CA,06097153002,7
CA,06097153003,10
CA,06097153005,14
CA,06097153006,12
CA,06097153101,12
CA,06097153102,8
CA,06097153200,8
CA,06097153300,16
CA,06097153401,26
CA,06097153403,29
CA,06097153404,14
CA,06097153501,50
CA,06097153502,25
CA,06097153600,33
CA,06097153703,0
CA,06097153704,0
CA,06097153705,13
CA,06097153706,0
CA,06097153801,13
CA,06097153802,14
CA,06097153803,9
CA,06097153901,33
CA,06097153902,32
CA,06097153903,35
CA,06097154000,39
CA,06097154100,67
CA,06097154200,8
CA,06097154301,50
CA,06097154302,25
